date,y,wday,is_holiday,res_wday
2010-07-22,927185,5,0,-40324.9615384615
2010-07-23,879035,6,0,-70929.7547169811
2010-07-24,571189,7,0,-44935.4615384615
2010-07-25,472911,1,0,31962.4807692308
2010-07-26,915404,2,0,-5402.05769230775
2010-07-27,935330,3,0,-48976.7884615385
2010-07-28,908070,4,0,-79077.5192307693
2010-07-29,933636,5,0,-33873.9615384615
2010-07-03,688185,7,0,72060.5384615385
2010-07-30,943778,6,0,-6186.75471698109
2010-07-31,657365,7,0,41240.5384615385
2010-07-04,517771,1,1,76822.4807692308
2010-07-05,490386,2,0,-430420.057692308
2010-07-06,906377,3,0,-77929.7884615385
2010-07-07,911994,4,0,-75153.5192307693
2010-07-08,913888,5,0,-53621.9615384615
2010-07-09,930427,6,0,-19537.7547169811
2010-08-01,491220,1,0,50271.4807692308
2010-08-10,909752,3,0,-74554.7884615385
2010-08-11,902498,4,0,-84649.5192307693
2010-08-12,908352,5,0,-59157.9615384615
2010-08-13,918501,6,0,-31463.7547169811
2010-08-14,688021,7,0,71896.5384615385
2010-08-15,507105,1,0,66156.4807692308
2010-08-16,907011,2,0,-13795.0576923077
2010-08-17,909673,3,0,-74633.7884615385
2010-08-18,935381,4,0,-51766.5192307693
2010-08-19,940943,5,0,-26566.9615384615
2010-08-02,913649,2,0,-7157.05769230775
2010-08-20,928525,6,0,-21439.7547169811
2010-08-21,662928,7,0,46803.5384615385
2010-08-22,470110,1,0,29161.4807692308
2010-08-23,941694,2,0,20887.9423076923
2010-08-24,962622,3,0,-21684.7884615385
2010-08-25,973800,4,0,-13347.5192307693
2010-08-26,978212,5,0,10702.0384615385
2010-08-27,991691,6,0,41726.2452830189
2010-08-28,678949,7,0,62824.5384615385
2010-08-29,471725,1,0,30776.4807692308
2010-08-03,927125,3,0,-57181.7884615385
2010-08-30,960273,2,0,39466.9423076923
2010-08-31,980388,3,0,-3918.7884615385
2010-08-04,880047,4,0,-107100.519230769
2010-08-05,949218,5,0,-18291.9615384615
2010-08-06,947220,6,0,-2744.75471698109
2010-08-07,668567,7,0,52442.5384615385
2010-08-08,464239,1,0,23290.4807692308
2010-08-09,902342,2,0,-18464.0576923077
2010-09-01,1014776,4,0,27628.4807692308
2010-09-10,1067844,6,0,117879.245283019
2010-09-11,620475,7,0,4350.5384615385
2010-09-12,478785,1,0,37836.4807692308
2010-09-13,1064113,2,0,143306.942307692
2010-09-14,1073013,3,0,88706.2115384615
2010-09-15,1077313,4,0,90165.4807692308
2010-09-16,1030218,5,0,62708.0384615385
2010-09-17,1070710,6,0,120745.245283019
2010-09-18,602888,7,0,-13236.4615384615
2010-09-19,463244,1,0,22295.4807692308
2010-09-02,964759,5,0,-2750.9615384615
2010-09-20,1040338,2,0,119531.942307692
2010-09-21,1068204,3,0,83897.2115384615
2010-09-22,1038052,4,0,50904.4807692308
2010-09-23,1067715,5,0,100205.038461539
2010-09-24,966185,6,0,16220.2452830189
2010-09-25,647044,7,0,30919.5384615385
2010-09-26,439578,1,0,-1370.51923076925
2010-09-27,1030264,2,0,109457.942307692
2010-09-28,1049114,3,0,64807.2115384615
2010-09-29,1044807,4,0,57659.4807692308
2010-09-03,996297,6,0,46332.2452830189
2010-09-30,1040445,5,0,72935.0384615385
2010-09-04,671418,7,1,55293.5384615385
2010-09-05,497194,1,1,56245.4807692308
2010-09-06,453040,2,1,-467766.057692308
2010-09-07,1067665,3,0,83358.2115384615
2010-09-08,1078904,4,0,91756.4807692307
2010-09-09,1053439,5,0,85929.0384615385
